Слово;Количество
среда;69
заболевание;59
любовь;58
девочка;55
рак;55
зал;55
команда;54
способность;51
центр;50
опыт;50
экономика;49
класс;49
америка;48
инструмент;48
область;48
смысл;48
вселенная;47
рост;47
телефон;47
бизнес;46
дерево;46
сайт;45
голос;45
состояние;45
штат;45
робот;45
тип;44
течение;43
условие;43
сердце;41
лекарство;41
врач;41
производство;40
культура;40
правило;40
задача;39
стена;39
молодой;38
имя;38
предмет;37
сообщество;37
еда;37
камера;37
зрение;37
ген;37
больница;37
китай;36
здоровье;36
днк;36
бог;36
